claim_id,verification_result,mismatch_type,judge_reasoning
A036-01,확인불가,출처불명확,"전국 주택 시가총액(6839조원)은 KOSIS 로컬·전체 검색에서 관련 표를 찾지 못했으며, 한국부동산원이 별도 발표하는 자료로 추정되어 KOSIS 미등재 가능성이 높음."
A036-02,확인불가,출처불명확,수도권 주택 시가총액 비중(67.7%)도 동일한 사유로 KOSIS 내 대응 표를 찾지 못해 확인이 불가능함.
A036-03,확인불가,출처불명확,주택 유형별 비중(아파트 76.3% 등) 역시 동일한 사유로 KOSIS에서 확인할 수 없음.
A037-01,확인불가,출처불명확,국내 기업 AI 도입률(6.4%)은 대한상공회의소의 민간 자체조사 결과로 KOSIS에 등재되어 있지 않아 확인이 불가능함.
A037-02,확인불가,출처불명확,"산업별 AI 도입률(정보통신업 26%, 제조업 4%) 역시 동일한 민간조사 자료로 KOSIS에서 확인할 수 없음."
A038-01,일치,,"2024년 12월 전국 취업자 수(28,041.1천명)가 기사 수치(2804만1000명)와 반올림 차이를 제외하면 사실상 일치함."
A038-02,일치,,15-29세 청년 실업률(5.9%)이 기사 수치와 정확히 일치함.
A038-03,일치,,2024년 12월 전국 고용률(61.4%)이 기사 수치와 정확히 일치함.
A039-01,확인불가,기간불일치,지역내총생산 관련 KOSIS 표는 연간 데이터(2019~2024)만 제공되어 기사의 2025년 1분기 전기 대비 증가율(0.1%)과 조사 주기가 달라 대조하지 못함.
A039-02,확인불가,기간불일치,시도별 지역내총생산 증가율(경북 1.6% 등)도 분기 데이터가 없어 동일한 사유로 대조하지 못함.
A039-03,확인불가,기간불일치,건설업 GRDP 감소율(-12.4%)도 분기 데이터 미제공으로 동일한 사유로 대조하지 못함.
A040-01,확인불가,출처불명확,청년층 '쉬었음' 인구(50.4만명)에 대응하는 세부 활동상태별 비경제활동인구 표를 로컬 카탈로그에서 찾지 못해 확인이 불가능함.
A040-02,일치,,2025년 2월 청년층(15-29세) 고용률(44.3%)이 기사 수치와 정확히 일치함.
A040-03,일치,,"2025년 2월 청년 취업자 수(3,557.2천명)가 기사 수치(355만7000명)와 반올림 차이를 제외하면 사실상 일치함."
A041-01,확인불가,출처불명확,"은퇴가구 월 최소·적정 생활비 수치는 통계청 가계금융복지조사 내 해당 항목 표를 찾지 못했으며, 검색되는 자료는 모두 민간·타부처 패널조사여서 확인이 불가능함."
A041-02,확인불가,출처불명확,생활비 여유·부족 응답 비율(10.5%/57%) 역시 동일한 사유로 KOSIS에서 확인할 수 없음.
A042-01,확인불가,기타,2024년 연간 소매판매 감소율(-2.2%)은 A022-01과 동일하게 총지수 행이 확인되지 않아 대조하지 못함.
A042-02,불일치,수치오류,전산업생산지수의 전년 대비 증가율(+1.61%)이 기사 수치(+1.7%)와 0.1%포인트 차이가 나 정확히 일치하지 않음.
A042-03,불일치,수치오류,건설기성액(불변)의 전년 대비 감소율(-4.60%)이 기사 수치(-4.9%)와 0.3%포인트 차이가 나 정확히 일치하지 않음.
A001-01,일치,,"서울특별시 총인구(2024.1월 기준 9,384,325명)가 기사 수치(9,384,000명)와 사실상 일치하며, 연간이 아닌 월간 시점값으로 확인됨."
A003-01,확인불가,출처불명확,"더본코리아 상장 첫날 종가(51,400원)는 개별 종목 시세로 KOSIS(국가승인통계) 대상이 아니어서 확인이 불가능함."
A003-02,확인불가,출처불명확,"더본코리아 5/2 종가(26,950원) 역시 개별 종목 시세로 동일한 사유로 확인이 불가능함."
A004-01,확인불가,기타,"기사는 구체적 수치 없이 '역대 최저치'라고만 서술해, 실제 최저치 여부는 전체 시계열 비교가 필요하므로 현재로선 확정할 수 없음."
A008-01,확인불가,출처불명확,스트레스 DSR 금리(0.38%)는 금융위원회·금융감독원의 가계부채 관리 정책 수치로 KOSIS에 등재되는 조사 통계가 아니어서 확인이 불가능함.
A009-01,확인불가,출처불명확,미국의 수입차 관세(25%)는 미국 정부의 관세 정책 수치로 국내 통계인 KOSIS의 대상이 아니어서 확인이 불가능함.
A012-01,확인불가,기타,국가연구개발사업 표에서 예산·집행액·과제수는 확인되나 '성공률' 항목 자체가 없어 기사 수치(97%)와 대조할 수 없음.
A013-01,확인불가,출처불명확,AI 관련 R&D 예산(1조2000억원)은 KOSIS 연구개발활동조사 등에서 AI 분야로 별도 분류된 항목을 찾지 못해 확인이 불가능함.
A013-02,확인불가,출처불명확,정부 R&D 대비 AI 예산 비중(4%) 역시 동일한 사유로 KOSIS에서 확인할 수 없음.
A015-01,확인불가,출처불명확,영국산 자동차에 대한 미국 관세율(27.5%→10%) 인하는 미국의 대영 관세 정책 수치로 KOSIS 대상이 아니어서 확인이 불가능함.
A015-02,확인불가,출처불명확,미국 자동차 수입량(802만대) 및 빅3 비중(28%)은 컨설팅업체 글로벌데이터가 집계한 미국 시장 데이터로 국내 KOSIS 통계 대상이 아니어서 확인이 불가능함.
A015-03,확인불가,출처불명확,영국의 대미 자동차 수출액(64억파운드)은 영국 무역 통계로 KOSIS 대상이 아니어서 확인이 불가능함.
A018-01,확인불가,비교대상오류,방산·조선 상위 10종목 시가총액 합계(129조원)는 KOSIS의 산업별(대분류) 시가총액 표와 달리 언론사가 임의로 상위 10종목만 골라 집계한 수치로 분류 기준이 달라 직접 대조할 수 없음.
A018-02,확인불가,비교대상오류,자동차 업종 상위 10종목 시가총액(109조원) 역시 동일한 사유로 KOSIS 표와 분류 기준이 달라 대조할 수 없음.
A018-03,확인불가,비교대상오류,작년 말 방산·조선 시가총액(67조원)도 동일한 사유로 KOSIS 표와 직접 대조할 수 없음.
